build_candidate,candidate,role,prediction_level,fold,n,n_cn,n_ad,tn,fp,fn,tp,sensitivity,specificity,balanced_accuracy,f1,predicted_ad_rate,auc,pr_auc
concatenated_timeseries,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,1,180,90,90,71,19,60,30,0.3333333333333333,0.7888888888888889,0.5611111111111111,0.4316546762589928,0.2722222222222222,0.5960493827160495,0.5908784646893868
concatenated_timeseries,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,2,180,90,90,63,27,60,30,0.3333333333333333,0.7,0.5166666666666666,0.40816326530612246,0.31666666666666665,0.5469753086419753,0.562803068948879
concatenated_timeseries,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,3,180,90,90,58,32,52,38,0.4222222222222222,0.6444444444444445,0.5333333333333333,0.475,0.3888888888888889,0.5824691358024692,0.5688807799047488
concatenated_timeseries,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,4,180,90,90,72,18,64,26,0.28888888888888886,0.8,0.5444444444444445,0.3880597014925373,0.24444444444444444,0.5570987654320988,0.5798685552969131
concatenated_timeseries,promoted_beta3p75_residualized_mfr_oof_ecdf,posthoc_external_sensitivity_only,fold_model,5,180,90,90,43,47,38,52,0.5777777777777777,0.4777777777777778,0.5277777777777778,0.5502645502645502,0.55,0.5535185185185185,0.5230508010232054
runwise164_pilot_parity,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,1,180,90,90,79,11,64,26,0.28888888888888886,0.8777777777777778,0.5833333333333333,0.4094488188976378,0.20555555555555555,0.6551234567901234,0.6502414156588103
runwise164_pilot_parity,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,2,180,90,90,77,13,67,23,0.25555555555555554,0.8555555555555555,0.5555555555555556,0.36507936507936506,0.2,0.6467901234567901,0.6505092104901813
runwise164_pilot_parity,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,3,180,90,90,74,16,62,28,0.3111111111111111,0.8222222222222222,0.5666666666666667,0.417910447761194,0.24444444444444444,0.6314814814814816,0.6338963652824792
runwise164_pilot_parity,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,4,180,90,90,85,5,70,20,0.2222222222222222,0.9444444444444444,0.5833333333333333,0.34782608695652173,0.1388888888888889,0.6538271604938272,0.6675619457240929
runwise164_pilot_parity,latent512_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,5,180,90,90,63,27,53,37,0.4111111111111111,0.7,0.5555555555555556,0.4805194805194805,0.35555555555555557,0.6112345679012345,0.6124616907940055
runwise164_pilot_parity,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,1,180,90,90,79,11,63,27,0.3,0.8777777777777778,0.5888888888888889,0.421875,0.2111111111111111,0.6556790123456789,0.6640044964924994
runwise164_pilot_parity,mfrBalancedVAE_beta3p75_oof_ecdf,external_sensitivity_only,fold_model,2,180,90,90,78,12,71,19,0.2111111111111111,0.8666666666666667,0.5388888888888889,0.3140495867768595,0.17222222222222222,0.6135802469135803,0.6320676232552632
