site_i,site_j,n_i,n_j,euclidean_dist,cosine_dist
10,123,2,6,12.702293395996094,0.9017670899629593
10,126,2,2,14.19802188873291,0.8548365384340286
10,127,2,2,14.290315628051758,0.9144636541604996
10,129,2,2,14.82712459564209,1.044987466186285
10,13,2,7,12.435824394226074,1.01334095466882
10,130,2,33,10.935110092163086,0.8185326457023621
10,131,2,1,19.06409454345703,1.0339188612997532
10,135,2,6,12.5798921585083,0.9508235901594162
10,136,2,5,12.296744346618652,0.9107883796095848
10,14,2,18,11.178175926208496,0.845791757106781
10,168,2,8,12.16135025024414,0.9587643928825855
10,177,2,6,11.45663070678711,0.7502956539392471
10,18,2,10,12.168514251708984,1.0251129250973463
10,19,2,12,12.386303901672363,1.0812338516116142
10,2,2,9,11.907108306884766,0.9430787190794945
10,22,2,1,18.355764389038086,0.972960852086544
10,27,2,4,13.461479187011719,0.9876131312921643
10,3,2,20,11.364998817443848,0.89960677921772
10,301,2,4,13.393760681152344,0.9587612375617027
10,305,2,7,11.966724395751953,0.8816649541258812
10,31,2,6,13.012925148010254,1.0577936135232449
10,32,2,3,13.303365707397461,0.9740211237221956
10,35,2,4,12.229715347290039,0.8360806107521057
10,53,2,4,13.452958106994629,0.9633178003132343
10,57,2,2,15.034994125366211,1.0173904616385698
10,6,2,14,11.697891235351562,0.984890422783792
10,82,2,1,17.108570098876953,0.989382229745388
10,98,2,3,13.539076805114746,0.9438095577061176
100,11,13,12,6.713667392730713,0.8857275173068047
100,114,13,3,9.915078163146973,0.9274957329034805
100,116,13,2,10.54247760772705,0.7860980033874512
100,12,13,2,11.29059886932373,0.9358535781502724
100,123,13,6,7.44464635848999,0.6377256810665131
100,126,13,2,11.453391075134277,0.9030896872282028
100,127,13,2,11.028857231140137,0.9259834438562393
100,129,13,2,10.923773765563965,1.0271396096795797
100,13,13,7,7.485952377319336,0.9469706900417805
100,130,13,33,5.487406253814697,0.731216698884964
100,131,13,1,16.161584854125977,1.0184648670256138
100,135,13,6,7.75499153137207,0.8341941833496094
100,136,13,5,8.51136302947998,1.0314746610820293
100,14,13,18,6.0592827796936035,0.7976822555065155
100,168,13,8,6.744466781616211,0.767195925116539
100,177,13,6,8.17733383178711,0.8774645179510117
100,18,13,10,6.581295013427734,0.8405511975288391
100,19,13,12,6.6048383712768555,0.8571942448616028
100,2,13,9,6.525825023651123,0.7810923457145691
100,22,13,1,14.271641731262207,0.6899286508560181
100,27,13,4,9.575655937194824,1.0261543430387974
100,3,13,20,5.881999492645264,0.770609900355339
100,301,13,4,7.817325115203857,0.6229546964168549
100,305,13,7,7.496740818023682,0.8554511815309525
100,31,13,6,7.796896934509277,0.8994580209255219
100,32,13,3,8.672904014587402,0.8469432592391968
100,35,13,4,8.351139068603516,0.8338964879512787
100,53,13,4,8.808156967163086,0.8096412420272827
100,57,13,2,10.873601913452148,0.9030654951930046
100,6,13,14,5.831778526306152,0.7602063864469528
100,82,13,1,14.235596656799316,1.0049666846171021
100,98,13,3,9.193108558654785,0.8251914083957672
11,114,12,3,8.941082000732422,0.7464837431907654
11,116,12,2,11.198541641235352,0.9446300528943539
11,12,12,2,11.505804061889648,1.0113553749397397
11,123,12,6,8.530633926391602,0.8930138200521469
11,126,12,2,11.454229354858398,0.9271694496273994
11,127,12,2,10.780515670776367,0.8983546048402786
11,129,12,2,10.61179256439209,0.9903302052989602
11,13,12,7,6.90385103225708,0.8492863774299622
11,130,12,33,5.4454145431518555,0.7896838188171387
11,131,12,1,15.551311492919922,0.9106046706438065
11,135,12,6,7.582573890686035,0.8313716948032379
11,136,12,5,7.825972557067871,0.9083240702748299
11,14,12,18,5.736390113830566,0.7692631632089615
11,168,12,8,7.355227947235107,0.964481495320797
11,177,12,6,7.576907634735107,0.7771693766117096
11,18,12,10,6.268202781677246,0.8123544305562973
11,19,12,12,6.3159308433532715,0.835902601480484
11,2,12,9,6.602838039398193,0.8483488261699677
11,22,12,1,15.334638595581055,0.9063426330685616
11,27,12,4,9.189764976501465,0.9749086294323206
11,3,12,20,5.252911567687988,0.6618993282318115
11,301,12,4,9.041460037231445,0.8987493216991425
11,305,12,7,7.048923492431641,0.7907657325267792
11,31,12,6,7.264394283294678,0.8146639168262482
11,32,12,3,9.615793228149414,1.1053687259554863
11,35,12,4,7.507968425750732,0.6829885244369507
11,53,12,4,8.929494857788086,0.8639303296804428
11,57,12,2,11.264759063720703,1.016955053433776
11,6,12,14,5.924253463745117,0.8489343822002411
11,82,12,1,13.123970031738281,0.7943282574415207
11,98,12,3,9.0667724609375,0.8241359293460846
114,116,3,2,13.842390060424805,1.0356608107686043
114,12,3,2,13.799753189086914,1.02793949842453
114,123,3,6,10.943272590637207,0.8874215111136436
114,126,3,2,13.579773902893066,0.9550764784216881
114,127,3,2,13.005934715270996,0.9373132437467575
114,129,3,2,12.680245399475098,0.9593076519668102
114,13,3,7,9.522886276245117,0.8060988485813141
114,130,3,33,8.788403511047363,0.7825608849525452
114,131,3,1,18.143211364746094,1.0743473395705223
114,135,3,6,10.640161514282227,0.9205218404531479
114,136,3,5,10.795563697814941,0.9597049281001091
114,14,3,18,9.53757095336914,0.9241824448108673
114,168,3,8,9.555564880371094,0.8119253665208817
114,177,3,6,10.898736953735352,0.9358099848031998
114,18,3,10,10.009288787841797,0.9740719925612211
114,19,3,12,9.676701545715332,0.9052718728780746
114,2,3,9,9.72233772277832,0.881964698433876
114,22,3,1,16.829404830932617,0.9254936277866364
114,27,3,4,11.947417259216309,1.016210898756981
114,3,3,20,9.282903671264648,0.8736073672771454
114,301,3,4,11.511795997619629,0.9208663403987885
114,305,3,7,10.24484634399414,0.895025908946991
114,31,3,6,10.420374870300293,0.9128290265798569
114,32,3,3,11.54371452331543,0.9615818783640862
114,35,3,4,10.557717323303223,0.8322651833295822
114,53,3,4,11.203057289123535,0.8670748621225357
114,57,3,2,12.74014663696289,0.9043594375252724
114,6,3,14,9.283486366271973,0.875666581094265
114,82,3,1,14.593082427978516,0.828971654176712
114,98,3,3,11.542580604553223,0.8824041038751602
116,12,2,2,14.192728042602539,0.9390053860843182
116,123,2,6,11.51106071472168,0.7985483705997467
116,126,2,2,14.430218696594238,0.9374644756317139
116,127,2,2,13.302608489990234,0.8444227874279022
116,129,2,2,14.211915016174316,1.0264781638979912
116,13,2,7,11.621604919433594,0.963928509503603
116,130,2,33,10.830253601074219,0.9585172012448311
116,131,2,1,18.119977951049805,0.9679978005588055
116,135,2,6,11.292994499206543,0.8246467262506485
116,136,2,5,12.292107582092285,1.0049501112662256
116,14,2,18,10.87578296661377,0.9144083708524704
116,168,2,8,10.462970733642578,0.745685875415802
116,177,2,6,12.106575965881348,0.93549395352602
116,18,2,10,10.483528137207031,0.787812277674675
116,19,2,12,11.616140365600586,1.0388499274849892
116,2,2,9,11.182136535644531,0.911475695669651
116,22,2,1,15.703540802001953,0.7244852483272552
116,27,2,4,11.925813674926758,0.8323237746953964
116,3,2,20,10.46888256072998,0.8257059752941132
116,301,2,4,11.417786598205566,0.7459717988967896
116,305,2,7,12.025432586669922,0.9918605955317616
116,31,2,6,12.383394241333008,1.0439229793846607
116,32,2,3,12.223649024963379,0.8863315284252167
116,35,2,4,12.389378547668457,0.9400737248361111
116,53,2,4,11.249146461486816,0.720100462436676
116,57,2,2,13.51975154876709,0.8765664622187614
116,6,2,14,11.001996040344238,0.9595588035881519
116,82,2,1,16.403579711914062,0.9524423219263554
116,98,2,3,12.299627304077148,0.8366884589195251
12,123,2,6,12.477919578552246,0.9458225965499878
12,126,2,2,15.241817474365234,1.0448817610740662
12,127,2,2,14.141411781311035,0.9532691538333893
12,129,2,2,14.305983543395996,1.0389636754989624
12,13,2,7,11.360857963562012,0.911035381257534
12,130,2,33,10.812788963317871,0.9505458436906338
12,131,2,1,17.77809715270996,0.9283686429262161
12,135,2,6,12.207426071166992,0.9783873856067657
12,136,2,5,11.772196769714355,0.9115078002214432
12,14,2,18,10.662130355834961,0.8607958555221558
12,168,2,8,11.390350341796875,0.9163368120789528
12,177,2,6,12.02192211151123,0.9198750257492065
12,18,2,10,10.622843742370605,0.8144843429327011
12,19,2,12,11.045378684997559,0.9087946712970734
12,2,2,9,10.547037124633789,0.7825113385915756
12,22,2,1,18.62933349609375,1.0471713058650494
12,27,2,4,12.764530181884766,0.9574789516627789
12,3,2,20,10.908096313476562,0.9313215762376785
12,301,2,4,13.185869216918945,1.0034279087558389
12,305,2,7,11.612296104431152,0.9141694009304047
12,31,2,6,11.945174217224121,0.9612374901771545
12,32,2,3,13.151849746704102,1.0310526564717293
12,35,2,4,12.644655227661133,0.9800204467028379
12,53,2,4,12.095542907714844,0.8357649892568588
12,57,2,2,13.257991790771484,0.842014342546463
12,6,2,14,10.916675567626953,0.9353321939706802
12,82,2,1,15.90357494354248,0.8927338570356369
12,98,2,3,13.419137001037598,0.9981547233182937
123,126,6,2,12.802214622497559,0.9513781815767288
123,127,6,2,12.160540580749512,0.925809234380722
123,129,6,2,12.15816593170166,1.0097479419782758
123,13,6,7,8.883134841918945,0.8826627656817436
123,130,6,33,7.814586162567139,0.8361700475215912
123,131,6,1,16.75672721862793,0.9683142118155956
123,135,6,6,8.876519203186035,0.7752150297164917
123,136,6,5,9.88907527923584,0.9771107956767082
123,14,6,18,8.279502868652344,0.89200459420681
123,168,6,8,8.185236930847168,0.7428347170352936
123,177,6,6,9.751212120056152,0.9007077515125275
123,18,6,10,7.71890926361084,0.709016352891922
123,19,6,12,8.113500595092773,0.7987150996923447
123,2,6,9,9.001799583435059,0.9587466232478619
123,22,6,1,15.564373016357422,0.8250507712364197
123,27,6,4,11.073623657226562,1.0277698505669832
123,3,6,20,8.24027156829834,0.8976724818348885
123,301,6,4,9.049667358398438,0.6665036678314209
123,305,6,7,8.804361343383789,0.8098847270011902
123,31,6,6,9.392812728881836,0.9062444865703583
123,32,6,3,10.307833671569824,0.9051728323101997
123,35,6,4,9.487253189086914,0.8008503019809723
123,53,6,4,9.583849906921387,0.7427649199962616
123,57,6,2,11.912853240966797,0.8929980993270874
123,6,6,14,7.401674270629883,0.6914551854133606
123,82,6,1,15.33094596862793,1.0165354330092669
123,98,6,3,11.604721069335938,1.0376984775066376
126,127,2,2,14.984118461608887,1.0329442508518696
126,129,2,2,14.626530647277832,1.045927420258522
