arm,role,fold,n_cn,n_ad,adni_cn_proj_mean,adni_ad_proj_mean,adni_ad_cn_separation_at_source,oasis_cn_proj_mean,oasis_ad_proj_mean,marginal_shift,cn_shift,ad_shift,ad_cn_projected_separation,cohens_d,projected_auc,clinical_alignment_margin
external_dataset_combat_adni_reference,primary,1,90,90,-1.9351720558453096,1.9351720558453092,3.8703441116906188,-1.5650554855224983,-0.39926737493113773,-0.982161430226818,0.3701165703228113,-2.334439430776447,1.1657881105913606,0.5376876394066074,0.6513580246913581,-0.39926737493113773
external_dataset_combat_adni_reference,primary,2,90,90,-1.920024933380809,1.9200249333808093,3.8400498667616185,-1.4406024336401015,-0.5392453037863025,-0.989923868713202,0.4794224997407075,-2.459270237167112,0.901357129853799,0.4383634195656262,0.617037037037037,-0.5392453037863025
external_dataset_combat_adni_reference,primary,3,90,90,-1.8699573735684607,1.8699573735684605,3.739914747136921,-1.4954643867243735,-0.4930058203505927,-0.9942351035374831,0.37449298684408716,-2.362963193919053,1.0024585663737808,0.47034540607251346,0.625432098765432,-0.4930058203505927
external_dataset_combat_adni_reference,primary,4,90,90,-2.0312514790865444,2.0312514790865444,4.062502958173089,-1.6488275091723406,-0.49769845600170537,-1.073262982587023,0.3824239699142038,-2.52894993508825,1.151129053170635,0.5566359831330293,0.644074074074074,-0.49769845600170537
external_dataset_combat_adni_reference,primary,5,90,90,-1.795452674444391,1.7954526744443915,3.5909053488887825,-1.3790450420087854,-0.4441291606821022,-0.9115871013454437,0.41640763243560563,-2.2395818351264936,0.9349158813266832,0.4815231923239905,0.6281481481481481,-0.4441291606821022
external_dataset_combat_no_reference,secondary,1,90,90,-1.9351720558453096,1.9351720558453092,3.8703441116906188,-1.917827802680479,-0.7741230642540359,-1.3459754334672573,0.01734425316483068,-2.709295120099345,1.1437047384264432,0.5413438256916748,0.6525925925925927,-0.7741230642540359
external_dataset_combat_no_reference,secondary,2,90,90,-1.920024933380809,1.9200249333808093,3.8400498667616185,-1.7823513511210132,-0.9125233713701314,-1.3474373612455723,0.13767358225979587,-2.8325483047509405,0.8698279797508818,0.4306433033557189,0.6166666666666667,-0.9125233713701314
external_dataset_combat_no_reference,secondary,3,90,90,-1.8699573735684607,1.8699573735684605,3.739914747136921,-1.9328361600420771,-0.9674008328096565,-1.4501184964258669,-0.06287878647361644,-2.837358206378117,0.9654353272324206,0.4630256632772772,0.6260493827160495,-0.9674008328096565
external_dataset_combat_no_reference,secondary,4,90,90,-2.0312514790865444,2.0312514790865444,4.062502958173089,-2.1500717132505165,-1.020425548245938,-1.5852486307482272,-0.11882023416397214,-3.0516770273324823,1.1296461650045786,0.5601418758270602,0.6482716049382715,-1.020425548245938
external_dataset_combat_no_reference,secondary,5,90,90,-1.795452674444391,1.7954526744443915,3.5909053488887825,-1.6461976747123446,-0.7410954050253244,-1.1936465398688345,0.14925499973204648,-2.536548079469716,0.9051022696870201,0.47711969866743087,0.6279012345679014,-0.7410954050253244
